"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
192,479,332,211,226,397,358,50,41,3.67541058394161,15.4835766423358,34.1313899450782,0.277144064216308
193,310,111,140,122,167,154,19,19,2.80206286836935,15.6660117878193,34.6392,0.272
194,373,366,374,327,298,271,42,33,3.9128102189781,13.9094890510949,35.5065859736561,0.311142755428978
195,139,125,172,154,130,85,15,5,4.44626168224299,16.2672897196262,34.603789836348,0.339362618432386
196,55,146,117,103,150,84,13,19,2.74179487179487,12.125641025641,34.8070866141732,0.202099737532808
197,211,459,390,317,415,222,62,36,2.57283431455004,14.1396131202691,34.8991049633849,0.240032546786005
198,152,351,210,209,300,120,25,11,1.75764705882353,11.7320261437908,36.1800791556728,0.268469656992084
199,150,269,245,214,225,121,17,8,1.84764079147641,9.84170471841705,34.8470066518847,0.283074648928307
200,164,211,254,161,176,107,22,25,2.52816901408451,10.2077464788732,33.6790513833992,0.3699604743083
201,146,317,234,223,205,95,42,24,3.18824324324324,11.6121621621622,33.9614059269469,0.20882150241213
202,162,415,295,322,250,170,67,17,2.31589566929134,8.14763779527559,35.6155871511322,0.303844128488678
203,182,89,149,137,114,132,19,16,2.13697674418605,9.85116279069767,34.9133611691023,0.24321503131524
204,392,136,284,290,159,320,28,30,2.14102272727273,10.1238636363636,35.1950696677385,0.306002143622722
205,208,236,285,308,276,247,47,45,2.63767911200807,12.3491422805247,34.9852040816327,0.26734693877551
206,251,523,542,520,630,410,106,28,1.72152504220597,10.9628587507034,33.694382647386,0.253615127919911
207,185,285,244,310,231,269,24,19,3.06430678466077,11.1878072763029,35.537527593819,0.243377483443709
208,942,322,440,540,356,1001,84,140,1.85345673505798,10.4259589652096,34.5076708507671,0.176429567642957
209,207,388,293,255,377,143,25,23,1.67562906724512,12.970715835141,36.6854922279793,0.328497409326425
210,583,224,210,223,191,404,31,30,1.43526046986721,9.43105209397344,34.2864534336783,0.284571966133584
211,855,264,397,468,311,745,81,102,2.28271943995692,9.96661281637049,34.8015470792211,0.264070418778341
212,340,177,287,311,227,257,35,25,2.80257958287596,12.3293084522503,35.101083032491,0.274883960804538
213,422,644,540,378,742,344,82,66,2.16415625,14.32375,35.2904841402337,0.250973845297718
214,90,147,199,192,243,132,30,46,1.80542168674699,10.1824440619621,36.2898193760263,0.270114942528736
215,126,158,264,192,305,101,33,17,1.91533450704225,11.112676056338,35.059691011236,0.282303370786517
216,152,148,235,193,189,171,29,12,1.74883333333333,12.0318181818182,36.137296532201,0.329087048832272
217,250,537,773,804,629,542,87,49,2.81370354549338,11.5459205467749,34.2175090252708,0.302797833935018
218,141,105,143,146,110,132,22,6,3.515,13.495652173913,33.7111111111111,0.306878306878307
219,117,266,199,134,265,71,17,5,2.22734375,14.115234375,34.1428571428571,0.185540069686411
220,108,134,161,110,269,101,27,18,2.12679012345679,12.9604938271605,35.5205479452055,0.278864970645793
221,168,405,327,240,267,119,47,20,2.10989702517162,10.9233409610984,35.18222470654,0.294019005030743
222,204,395,591,608,389,238,68,30,1.96254204398448,11.2813712807244,35.2585924713584,0.269394435351882
223,202,105,240,260,194,198,24,31,2.10544267053701,11.0711175616836,33.9247606019152,0.290697674418605
224,156,199,235,251,189,151,18,18,2.53906464924347,12.404401650619,34.5470756062767,0.293865905848787
225,129,329,240,231,272,123,46,21,3.89360613810742,11.7992327365729,33.9736164736165,0.236164736164736
226,80,194,198,170,227,90,21,29,2.84454713493531,11.1182994454713,34.5859305431879,0.252003561887801
227,82,290,191,116,317,59,9,3,3.78363273453094,16.9820359281437,32.8489399293286,0.240282685512367
228,115,321,192,153,262,100,16,12,3.56366559485531,15.4565916398714,34.4506024096386,0.250602409638554
229,187,364,331,306,338,174,47,49,1.96913946587537,11.1295746785361,35.3971596474045,0.187561214495593
230,145,549,419,351,491,203,60,24,2.34354085603113,13.2389105058366,36.3334631865991,0.210362290611609
231,214,309,288,343,247,188,45,26,2.43085501858736,12.1124535315985,35.4504459861249,0.275024777006938
232,113,241,220,186,193,102,12,15,3.03297709923664,13.2290076335878,35.1268143621085,0.370511841100076
233,195,411,394,422,442,264,76,46,3.38429655172414,13.5862068965517,34.8084045584046,0.248931623931624
234,156,132,166,170,164,101,24,9,3.61472222222222,13.4238683127572,36.40573012939,0.228280961182994
235,87,736,340,250,546,106,51,17,3.30785837651123,12.5725388601036,33.0578923563998,0.209407507914971
236,145,743,387,168,636,72,30,8,3.22729044834308,12.7943469785575,33.6740934906073,0.218435998252512
237,268,144,146,132,230,228,31,17,2.55310104529617,11.3815331010453,33.4797507788162,0.272585669781931
238,324,155,116,151,155,187,29,20,3.60279279279279,11.3189189189189,32.8998384491115,0.266558966074313
239,164,354,264,251,277,110,19,16,3.470337922403,9.819774718398,35.7913262099309,0.226901319924576
240,71,97,103,108,161,84,18,4,2.26954022988506,13.8563218390805,33.8047493403694,0.218997361477573
241,219,328,301,272,335,188,51,41,2.7438689217759,16.068710359408,34.8826196473552,0.150629722921914
