"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
213,1589,2907,2117,1575,2974,1420,324,230,2.24629958555358,14.8463587921847,35.2575139915705,0.27174739169488
214,147,227,292,272,405,236,49,64,1.75491525423729,10.0519774011299,36.1530666666667,0.276266666666667
215,440,759,812,703,1208,408,132,90,1.91489013356312,12.2990090478242,35.2050037341299,0.270911127707244
216,592,700,818,669,830,632,132,58,1.83031771247021,12.2204130262113,34.9454545454545,0.350328022492971
217,881,1758,2288,2421,2083,1720,296,183,2.91886787204451,11.750347705146,34.3193713450292,0.298026315789474
218,540,383,512,607,397,500,102,58,3.22629213483146,13.0365168539326,33.4439461883408,0.333520179372197
219,150,362,241,160,373,89,20,5,2.32671232876712,14.0684931506849,33.8572390572391,0.171717171717172
220,397,1095,753,511,1325,469,118,45,2.39535901926445,14.7092819614711,34.9195900670083,0.258376034686638
221,607,1719,1036,830,1206,479,164,93,2.29298116539141,12.3861094761624,34.4222222222222,0.283370618941089
222,666,1277,1758,1842,1356,830,286,134,1.93980985483541,11.6667348190554,35.3653965624353,0.265272313108304
223,264,163,310,328,274,267,42,50,2.11783369803063,11,33.6085150571132,0.281931464174455
224,578,818,863,927,823,607,100,93,2.43186725018235,12.3333333333333,34.457334076966,0.280721323666109
225,485,1186,845,777,1018,481,159,89,3.92297491039427,12.2308243727599,34.7369744879626,0.276500179662235
226,298,903,801,703,987,316,91,85,3.00302752293578,10.947247706422,34.2062651665564,0.234943745863666
