cust_id,bike,date_removed,station_removed,date_arrived,station_arrived,action
941,245,2010-02-19 21:19:00,27,2010-02-19 21:22:00,12,A  
941,522,2010-02-19 21:23:00,12,2010-02-19 21:23:00,12,C  
238,55,2010-02-19 21:32:00,31,2010-02-19 21:47:00,6,A  
965,821,2010-02-19 21:41:00,21,2010-02-19 22:04:00,27,A  
238,551,2010-02-19 22:00:00,6,2010-02-19 22:05:00,8,A  
849,558,2010-02-19 22:16:00,27,2010-02-19 22:35:00,13,A  
636,440,2010-02-19 22:48:00,34,2010-02-19 22:59:00,76,A  
649,248,2010-02-19 22:57:00,5,2010-02-19 23:02:00,5,A  
649,240,2010-02-19 23:07:00,15,2010-02-19 23:25:00,83,A  
636,495,2010-02-19 23:15:00,63,2010-02-19 23:20:00,83,A  
948,224,2010-02-20 07:15:00,16,2010-02-20 07:21:00,13,A  
948,679,2010-02-20 07:52:00,13,2010-02-20 07:59:00,16,A  
592,36,2010-02-20 08:39:00,15,2010-02-20 08:52:00,20,A  
592,665,2010-02-20 09:28:00,27,2010-02-20 09:41:00,7,A  
1050,299,2010-02-20 10:57:00,85,2010-02-20 10:57:00,85,C  
266,712,2010-02-20 11:09:00,66,2010-02-20 11:14:00,44,A  
1054,346,2010-02-20 11:18:00,85,2010-02-20 11:26:00,20,A  
1064,359,2010-02-20 11:28:00,85,2010-02-20 11:29:00,85,C  
1070,412,2010-02-20 11:44:00,85,2010-02-20 11:44:00,85,C  
1066,603,2010-02-20 11:45:00,85,2010-02-20 11:45:00,85,C  
547,333,2010-02-20 11:53:00,78,2010-02-20 12:31:00,63,A  
1070,477,2010-02-20 11:59:00,85,2010-02-20 12:07:00,6,A  
1066,388,2010-02-20 11:59:00,85,2010-02-20 12:07:00,6,A  
1067,299,2010-02-20 12:01:00,85,2010-02-20 12:15:00,5,A  
693,59,2010-02-20 12:23:00,80,2010-02-20 12:48:00,60,A  
216,438,2010-02-20 12:26:00,19,2010-02-20 12:34:00,24,A  
943,598,2010-02-20 12:42:00,21,2010-02-20 13:02:00,85,A  
971,749,2010-02-20 12:42:00,21,2010-02-20 13:02:00,85,A  
693,216,2010-02-20 12:58:00,60,2010-02-20 13:19:00,63,A  
1067,452,2010-02-20 12:59:00,5,2010-02-20 13:05:00,17,A  
1067,670,2010-02-20 13:16:00,17,2010-02-20 13:20:00,5,A  
547,892,2010-02-20 13:21:00,63,2010-02-20 13:37:00,66,A  
81,929,2010-02-20 13:27:00,78,2010-02-20 13:33:00,76,A  
693,183,2010-02-20 13:49:00,76,2010-02-20 13:56:00,66,A  
547,693,2010-02-20 13:55:00,72,2010-02-20 14:14:00,66,A  
1115,355,2010-02-20 14:00:00,85,2010-02-20 14:00:00,85,C  
693,794,2010-02-20 14:06:00,72,2010-02-20 14:19:00,83,A  
216,875,2010-02-20 14:22:00,16,2010-02-20 14:30:00,31,A  
216,312,2010-02-20 14:41:00,31,2010-02-20 14:46:00,19,A  
592,851,2010-02-20 14:52:00,7,2010-02-20 15:07:00,27,A  
521,446,2010-02-20 14:53:00,21,2010-02-20 15:06:00,83,A  
940,392,2010-02-20 15:08:00,11,2010-02-20 15:20:00,11,A  
249,852,2010-02-20 15:24:00,6,2010-02-20 15:33:00,27,A  
519,541,2010-02-20 15:24:00,6,2010-02-20 15:26:00,6,C  
519,407,2010-02-20 15:28:00,6,2010-02-20 15:33:00,27,A  
649,81,2010-02-20 15:31:00,5,2010-02-20 15:43:00,44,A  
592,334,2010-02-20 15:43:00,31,2010-02-20 15:56:00,21,A  
69,804,2010-02-20 16:08:00,83,2010-02-20 16:12:00,83,A  
71,0805BAJARF,2010-02-20 16:10:00,83,2010-02-20 16:11:00,83,C  
822,806,2010-02-20 16:25:00,83,2010-02-20 16:34:00,80,A  
249,143,2010-02-20 16:54:00,31,2010-02-20 17:14:00,60,A  
519,254,2010-02-20 16:54:00,31,2010-02-20 17:14:00,60,A  
69,496,2010-02-20 16:57:00,83,2010-02-20 17:02:00,83,A  
1067,595,2010-02-20 16:59:00,16,2010-02-20 17:06:00,13,A  
71,439,2010-02-20 17:09:00,83,2010-02-20 17:24:00,83,A  
69,240,2010-02-20 17:21:00,83,2010-02-20 17:29:00,83,A  
519,825,2010-02-20 17:45:00,66,2010-02-20 18:02:00,5,A  
249,824,2010-02-20 17:46:00,66,2010-02-20 18:02:00,5,A  
1067,678,2010-02-20 17:58:00,13,2010-02-20 19:33:00,16,A  
71,798,2010-02-20 18:03:00,83,2010-02-20 18:30:00,83,A  
69,810,2010-02-20 18:03:00,83,2010-02-20 18:31:00,83,A  
592,931,2010-02-20 18:25:00,15,2010-02-20 18:30:00,25,A  
592,529,2010-02-20 18:30:00,25,2010-02-20 18:31:00,25,C  
227,620,2010-02-20 18:42:00,22,2010-02-20 19:16:00,44,A  
216,533,2010-02-20 19:20:00,19,2010-02-20 19:24:00,26,A  
592,537,2010-02-20 19:26:00,18,2010-02-20 19:37:00,13,A  
238,465,2010-02-20 19:47:00,8,2010-02-20 19:53:00,19,A  
216,152,2010-02-20 19:59:00,30,2010-02-20 20:02:00,30,A  
238,562,2010-02-20 20:05:00,19,2010-02-20 20:11:00,16,A  
216,879,2010-02-20 20:06:00,30,2010-02-20 20:30:00,19,A  
238,101,2010-02-20 20:22:00,16,2010-02-20 20:26:00,15,A  
943,0316BAJA_R,2010-02-20 21:41:00,20,2010-02-20 21:51:00,15,A  
971,71,2010-02-20 21:41:00,20,2010-02-20 21:50:00,15,A  
943,453,2010-02-20 22:11:00,15,2010-02-20 22:14:00,8,A  
971,378,2010-02-20 22:11:00,15,2010-02-20 22:14:00,8,A  
81,431,2010-02-21 08:54:00,78,2010-02-21 10:18:00,26,A  
592,510,2010-02-21 09:05:00,7,2010-02-21 09:24:00,13,A  
853,749,2010-02-21 09:19:00,85,2010-02-21 09:24:00,27,A  
822,861,2010-02-21 09:24:00,19,2010-02-21 09:35:00,19,A  
592,735,2010-02-21 09:54:00,13,2010-02-21 10:19:00,17,A  
223,220,2010-02-21 09:58:00,27,2010-02-21 10:05:00,22,A  
82,235,2010-02-21 10:01:00,27,2010-02-21 10:05:00,27,A  
853,218,2010-02-21 10:01:00,27,2010-02-21 10:12:00,16,A  
69,662,2010-02-21 10:03:00,74,2010-02-21 10:04:00,74,C  
227,505,2010-02-21 10:03:00,26,2010-02-21 10:15:00,19,A  
71,925,2010-02-21 10:03:00,74,2010-02-21 12:29:00,74,A  
69,56,2010-02-21 10:04:00,74,2010-02-21 12:30:00,74,A  
82,217,2010-02-21 10:06:00,27,2010-02-21 10:07:00,27,C  
203,228,2010-02-21 10:09:00,27,2010-02-21 10:18:00,85,A  
1028,603,2010-02-21 10:12:00,85,2010-02-21 10:13:00,85,A  
822,239,2010-02-21 10:16:00,27,2010-02-21 10:22:00,17,A  
223,862,2010-02-21 10:16:00,22,2010-02-21 10:32:00,22,A  
1077,667,2010-02-21 10:29:00,27,2010-02-21 12:14:00,27,A  
965,686,2010-02-21 10:32:00,27,2010-02-21 10:45:00,22,A  
203,355,2010-02-21 10:33:00,85,2010-02-21 10:46:00,25,A  
216,103,2010-02-21 10:41:00,20,2010-02-21 10:48:00,16,A  
223,755,2010-02-21 10:44:00,22,2010-02-21 10:48:00,22,A  
592,593,2010-02-21 10:47:00,23,2010-02-21 11:08:00,18,A  
223,614,2010-02-21 10:48:00,22,2010-02-21 11:07:00,22,A  
82,633,2010-02-21 10:51:00,27,2010-02-21 12:27:00,63,A  
203,651,2010-02-21 10:59:00,25,2010-02-21 11:09:00,25,A  
216,774,2010-02-21 11:03:00,24,2010-02-21 11:08:00,14,A  
849,743,2010-02-21 11:15:00,21,2010-02-21 11:46:00,20,A  
223,621,2010-02-21 11:23:00,22,2010-02-21 11:37:00,22,A  
216,830,2010-02-21 11:27:00,13,2010-02-21 16:44:00,42,A  
965,738,2010-02-21 11:37:00,22,2010-02-21 11:53:00,22,A  
592,817,2010-02-21 11:40:00,17,2010-02-21 12:01:00,27,A  
943,538,2010-02-21 11:44:00,8,2010-02-21 11:50:00,13,A  
971,464,2010-02-21 11:44:00,8,2010-02-21 11:50:00,13,A  
822,688,2010-02-21 11:46:00,27,2010-02-21 12:03:00,17,A  
223,619,2010-02-21 11:47:00,22,2010-02-21 11:57:00,22,A  
78,687,2010-02-21 11:51:00,27,2010-02-21 13:05:00,17,A  
520,25,2010-02-21 11:54:00,80,2010-02-21 12:24:00,22,A  
223,750,2010-02-21 12:12:00,22,2010-02-21 12:26:00,22,A  
965,617,2010-02-21 12:28:00,22,2010-02-21 12:53:00,22,A  
520,427,2010-02-21 12:41:00,22,2010-02-21 12:54:00,83,A  
223,813,2010-02-21 12:45:00,22,2010-02-21 13:06:00,25,A  
900,653,2010-02-21 12:56:00,16,2010-02-21 13:28:00,16,A  
257,441,2010-02-21 13:00:00,22,2010-02-21 13:09:00,17,A  
203,680,2010-02-21 13:01:00,25,2010-02-21 13:08:00,17,A  
849,244,2010-02-21 13:08:00,43,2010-02-21 13:23:00,21,A  
227,641,2010-02-21 13:10:00,19,2010-02-21 13:27:00,25,A  
91,209,2010-02-21 13:10:00,19,2010-02-21 14:14:00,27,A  
943,834,2010-02-21 13:17:00,13,2010-02-21 13:38:00,85,A  
971,43,2010-02-21 13:17:00,13,2010-02-21 13:38:00,85,A  
1050,746,2010-02-21 13:23:00,44,2010-02-21 13:29:00,44,A  
1061,475,2010-02-21 13:23:00,44,2010-02-21 14:09:00,49,A  
592,606,2010-02-21 13:29:00,46,2010-02-21 13:39:00,13,A  
203,482,2010-02-21 13:33:00,17,2010-02-21 14:06:00,83,A  
965,442,2010-02-21 13:36:00,17,2010-02-21 13:55:00,27,A  
238,630,2010-02-21 13:38:00,17,2010-02-21 13:43:00,8,A  
822,668,2010-02-21 13:39:00,17,2010-02-21 13:51:00,80,A  
